Inst,Initial,Feasible,Of
instances\GJ\I3.csv,True,True,413369.7
instances\GJ\I4.csv,False,True,454393.44
instances\GJ\I4.csv,True,True,370351.44
instances\GJ\I5.csv,False,True,454393.44
instances\GJ\I5.csv,True,True,370499.08
instances\GJ\J1.csv,False,True,468716.49
instances\GJ\J1.csv,True,True,473726.55
instances\GJ\J2.csv,False,True,410691.51
instances\GJ\J2.csv,True,True,417003.52
instances\GJ\J3.csv,False,True,377482.63
instances\GJ\J3.csv,True,True,373536.4
instances\GJ\J4.csv,False,True,424173.11
instances\GJ\J4.csv,True,True,417094.72
instances\GJ\K1.csv,False,True,541890.46
instances\GJ\K1.csv,True,True,509075.42
instances\GJ\K2.csv,False,True,515354.56
instances\GJ\K2.csv,True,True,462406.21
instances\GJ\K3.csv,False,True,515354.56
instances\GJ\K3.csv,True,True,485703.03
instances\GJ\K4.csv,False,True,478413.76
instances\GJ\K4.csv,True,True,448091.5
instances\GJ\L1.csv,False,True,704587.54
instances\GJ\L1.csv,True,True,675031.28
instances\GJ\L2.csv,False,True,629378.6
instances\GJ\L2.csv,True,True,598598.61
instances\GJ\L3.csv,False,True,629378.6
instances\GJ\L3.csv,True,True,579069.89
instances\GJ\L4.csv,False,True,627886.47
instances\GJ\L4.csv,True,True,542589.91
instances\GJ\L5.csv,False,True,627886.47
instances\GJ\L5.csv,True,True,568190.49
instances\GJ\M1.csv,False,True,536271.23
instances\GJ\M1.csv,True,True,553919.07
instances\GJ\M2.csv,False,True,536271.23
instances\GJ\M2.csv,True,True,550136.87
instances\GJ\M3.csv,False,True,531293.94
instances\GJ\M3.csv,True,True,524210.78
instances\GJ\M4.csv,False,True,484416.35
instances\GJ\M4.csv,True,True,517551.16
instances\GJ\N1.csv,False,True,588285.68
instances\GJ\N1.csv,True,True,603624.6
instances\GJ\N2.csv,False,True,588285.68
instances\GJ\N2.csv,True,True,639572.27
instances\GJ\N3.csv,False,True,540847.77
instances\GJ\N3.csv,True,True,570600.5
instances\GJ\N4.csv,False,True,540847.77
instances\GJ\N4.csv,True,True,580669.78
instances\GJ\N5.csv,False,True,520372.85
instances\GJ\N5.csv,True,True,555696.94
instances\GJ\N6.csv,False,True,520372.85
instances\GJ\N6.csv,True,True,565611.48
instances\GJ\O1.csv,False,True,806906.23
instances\GJ\O1.csv,True,True,761638.73
instances\GJ\O2.csv,False,True,806906.23
instances\GJ\O2.csv,True,True,752763.43
instances\GJ\O3.csv,False,True,663608.19
instances\GJ\O3.csv,True,True,723003.04
instances\GJ\O4.csv,False,True,663608.19
instances\GJ\O4.csv,True,True,708132.16
instances\GJ\O5.csv,False,True,704325.93
instances\GJ\O5.csv,True,True,656611.82
instances\GJ\O6.csv,False,True,704325.93
instances\GJ\O6.csv,True,True,657386.16
