Inst,Seed,Alpha,InitialNodes,Feasible,Of
instances\TV\eil22_50.csv,7,0.1,DemandPriority,True,525.16
instances\TV\eil22_50.csv,8,0.1,NoInitialNodes,True,483.55
instances\TV\eil22_50.csv,8,0.1,DistancePriority,True,589.7
instances\TV\eil22_50.csv,8,0.1,DemandPriority,True,582.2
instances\TV\eil22_50.csv,9,0.1,NoInitialNodes,True,546.72
instances\TV\eil22_50.csv,9,0.1,DistancePriority,True,517.85
instances\TV\eil22_50.csv,9,0.1,DemandPriority,True,527.84
instances\TV\eil22_50.csv,10,0.1,NoInitialNodes,True,571.02
instances\TV\eil22_50.csv,10,0.1,DistancePriority,True,533.98
instances\TV\eil22_50.csv,10,0.1,DemandPriority,True,514.31
instances\TV\eil22_50.csv,11,0.1,NoInitialNodes,True,514.14
instances\TV\eil22_50.csv,11,0.1,DistancePriority,True,522.6
instances\TV\eil22_50.csv,11,0.1,DemandPriority,True,585.46
instances\TV\eil22_50.csv,12,0.1,NoInitialNodes,True,443.11
instances\TV\eil22_50.csv,12,0.1,DistancePriority,True,520.51
instances\TV\eil22_50.csv,12,0.1,DemandPriority,True,524.06
instances\TV\eil22_50.csv,13,0.1,NoInitialNodes,True,510.73
instances\TV\eil22_50.csv,13,0.1,DistancePriority,True,539.63
instances\TV\eil22_50.csv,13,0.1,DemandPriority,True,593.47
instances\TV\eil22_50.csv,14,0.1,NoInitialNodes,True,479.24
instances\TV\eil22_50.csv,14,0.1,DistancePriority,True,501.63
instances\TV\eil22_50.csv,14,0.1,DemandPriority,True,495.34
instances\TV\eil22_50.csv,15,0.1,NoInitialNodes,True,478.98
instances\TV\eil22_50.csv,15,0.1,DistancePriority,True,508.03
instances\TV\eil22_50.csv,15,0.1,DemandPriority,True,545.54
instances\TV\eil22_50.csv,16,0.1,NoInitialNodes,True,571.23
instances\TV\eil22_50.csv,16,0.1,DistancePriority,True,587.77
instances\TV\eil22_50.csv,16,0.1,DemandPriority,True,574.03
instances\TV\eil22_50.csv,17,0.1,NoInitialNodes,True,540.58
instances\TV\eil22_50.csv,17,0.1,DistancePriority,True,550.17
instances\TV\eil22_50.csv,17,0.1,DemandPriority,True,567.79
instances\TV\eil22_50.csv,18,0.1,NoInitialNodes,True,509.01
instances\TV\eil22_50.csv,18,0.1,DistancePriority,True,582.8
instances\TV\eil22_50.csv,18,0.1,DemandPriority,True,584.03
instances\TV\eil22_50.csv,19,0.1,NoInitialNodes,True,476.99
instances\TV\eil22_50.csv,19,0.1,DistancePriority,True,508.79
instances\TV\eil22_50.csv,19,0.1,DemandPriority,True,553.15
instances\TV\eil22_50.csv,0,0.2,NoInitialNodes,True,575.84
instances\TV\eil22_50.csv,0,0.2,DistancePriority,True,635.65
instances\TV\eil22_50.csv,0,0.2,DemandPriority,True,607.16
instances\TV\eil22_50.csv,1,0.2,NoInitialNodes,True,446.65
instances\TV\eil22_50.csv,1,0.2,DistancePriority,True,498.07
instances\TV\eil22_50.csv,1,0.2,DemandPriority,True,498.07
instances\TV\eil22_50.csv,2,0.2,NoInitialNodes,True,531.82
instances\TV\eil22_50.csv,2,0.2,DistancePriority,True,613.64
instances\TV\eil22_50.csv,2,0.2,DemandPriority,True,564.52
instances\TV\eil22_50.csv,3,0.2,NoInitialNodes,True,588.58
instances\TV\eil22_50.csv,3,0.2,DistancePriority,True,587.34
instances\TV\eil22_50.csv,3,0.2,DemandPriority,True,587.34
instances\TV\eil22_50.csv,4,0.2,NoInitialNodes,True,546.39
instances\TV\eil22_50.csv,4,0.2,DistancePriority,True,674.53
instances\TV\eil22_50.csv,4,0.2,DemandPriority,True,620.88
instances\TV\eil22_50.csv,5,0.2,NoInitialNodes,True,588.28
instances\TV\eil22_50.csv,5,0.2,DistancePriority,True,640.49
instances\TV\eil22_50.csv,5,0.2,DemandPriority,True,579.04
instances\TV\eil22_50.csv,6,0.2,NoInitialNodes,True,547.38
instances\TV\eil22_50.csv,6,0.2,DistancePriority,True,614.34
instances\TV\eil22_50.csv,6,0.2,DemandPriority,True,614.34
instances\TV\eil22_50.csv,7,0.2,NoInitialNodes,True,599.8
instances\TV\eil22_50.csv,7,0.2,DistancePriority,True,506.99
instances\TV\eil22_50.csv,7,0.2,DemandPriority,True,506.99
instances\TV\eil22_50.csv,8,0.2,NoInitialNodes,True,542.46
instances\TV\eil22_50.csv,8,0.2,DistancePriority,True,658.54
instances\TV\eil22_50.csv,8,0.2,DemandPriority,True,565.72
instances\TV\eil22_50.csv,9,0.2,NoInitialNodes,True,588.59
instances\TV\eil22_50.csv,9,0.2,DistancePriority,True,564.29
instances\TV\eil22_50.csv,9,0.2,DemandPriority,True,622.1
instances\TV\eil22_50.csv,10,0.2,NoInitialNodes,True,526.49
instances\TV\eil22_50.csv,10,0.2,DistancePriority,True,547.1
instances\TV\eil22_50.csv,10,0.2,DemandPriority,True,547.1
