Inst,First,Feasible,Of
instances\GJ\H4.csv,both,True,355330.49
instances\GJ\H5.csv,linehauls,True,317548.14
instances\GJ\H5.csv,both,True,340920.37
instances\GJ\H6.csv,linehauls,True,317548.14
instances\GJ\H6.csv,both,True,340920.37
instances\GJ\I1.csv,linehauls,True,529907.28
instances\GJ\I1.csv,both,True,569718.26
instances\GJ\I2.csv,linehauls,True,494133.32
instances\GJ\I2.csv,both,True,497176.49
instances\GJ\I3.csv,linehauls,True,454393.44
instances\GJ\I3.csv,both,True,428595.97
instances\GJ\I4.csv,linehauls,True,454393.44
instances\GJ\I4.csv,both,True,428595.97
instances\GJ\I5.csv,linehauls,True,454393.44
instances\GJ\I5.csv,both,True,428595.97
instances\GJ\J1.csv,linehauls,True,468716.49
instances\GJ\J1.csv,both,True,530981.71
instances\GJ\J2.csv,linehauls,True,410691.51
instances\GJ\J2.csv,both,True,457454.04
instances\GJ\J3.csv,linehauls,True,377482.63
instances\GJ\J3.csv,both,True,407761.0
instances\GJ\J4.csv,linehauls,True,424173.11
instances\GJ\J4.csv,both,True,446977.78
instances\GJ\K1.csv,linehauls,True,541890.46
instances\GJ\K1.csv,both,True,593587.06
instances\GJ\K2.csv,linehauls,True,515354.56
instances\GJ\K2.csv,both,True,535373.49
instances\GJ\K3.csv,linehauls,True,515354.56
instances\GJ\K3.csv,both,True,535373.49
instances\GJ\K4.csv,linehauls,True,478413.76
instances\GJ\K4.csv,both,True,532899.46
instances\GJ\L1.csv,linehauls,True,704587.54
instances\GJ\L1.csv,both,True,664138.42
instances\GJ\L2.csv,linehauls,True,629378.6
instances\GJ\L2.csv,both,True,678655.16
instances\GJ\L3.csv,linehauls,True,629378.6
instances\GJ\L3.csv,both,True,678655.16
instances\GJ\L4.csv,linehauls,True,627886.47
instances\GJ\L4.csv,both,True,586764.05
instances\GJ\L5.csv,linehauls,True,627886.47
instances\GJ\L5.csv,both,True,586764.05
instances\GJ\M1.csv,linehauls,True,536271.23
instances\GJ\M1.csv,both,True,564137.09
instances\GJ\M2.csv,linehauls,True,536271.23
instances\GJ\M2.csv,both,True,564137.09
instances\GJ\M3.csv,linehauls,True,531293.94
instances\GJ\M3.csv,both,True,569070.46
instances\GJ\M4.csv,linehauls,True,484416.35
instances\GJ\M4.csv,both,True,528540.54
instances\GJ\N1.csv,linehauls,True,588285.68
instances\GJ\N1.csv,both,True,623170.57
instances\GJ\N2.csv,linehauls,True,588285.68
instances\GJ\N2.csv,both,True,623170.57
instances\GJ\N3.csv,linehauls,True,540847.77
instances\GJ\N3.csv,both,True,619968.96
instances\GJ\N4.csv,linehauls,True,540847.77
instances\GJ\N4.csv,both,True,619968.96
instances\GJ\N5.csv,linehauls,True,520372.85
instances\GJ\N5.csv,both,True,553989.43
instances\GJ\N6.csv,linehauls,True,520372.85
instances\GJ\N6.csv,both,True,553989.43
instances\GJ\O1.csv,linehauls,True,806906.23
instances\GJ\O1.csv,both,True,779950.21
instances\GJ\O2.csv,linehauls,True,806906.23
instances\GJ\O2.csv,both,True,779950.21
instances\GJ\O3.csv,linehauls,True,663608.19
instances\GJ\O3.csv,both,True,730070.38
instances\GJ\O4.csv,linehauls,True,663608.19
instances\GJ\O4.csv,both,True,730070.38
instances\GJ\O5.csv,linehauls,True,704325.93
instances\GJ\O5.csv,both,True,689151.71
instances\GJ\O6.csv,linehauls,True,704325.93
instances\GJ\O6.csv,both,True,689151.71
