Inst,Greedy,Feasible,Of
instances\GJ\H3.csv,Demand,True,938954.0
instances\GJ\H3.csv,Distance,True,338192.97
instances\GJ\H4.csv,Demand,True,963678.35
instances\GJ\H4.csv,Distance,True,338192.97
instances\GJ\H5.csv,Demand,True,938954.0
instances\GJ\H5.csv,Distance,True,317548.14
instances\GJ\H6.csv,Demand,True,963678.35
instances\GJ\H6.csv,Distance,True,317548.14
instances\GJ\I1.csv,Demand,True,1320924.0
instances\GJ\I1.csv,Distance,True,529907.28
instances\GJ\I2.csv,Demand,True,1221227.81
instances\GJ\I2.csv,Distance,True,494133.32
instances\GJ\I3.csv,Demand,True,1329506.91
instances\GJ\I3.csv,Distance,True,454393.44
instances\GJ\I4.csv,Demand,True,1246422.32
instances\GJ\I4.csv,Distance,True,454393.44
instances\GJ\I5.csv,Demand,True,1264083.63
instances\GJ\I5.csv,Distance,True,454393.44
instances\GJ\J1.csv,Demand,True,1322476.92
instances\GJ\J1.csv,Distance,True,468716.49
instances\GJ\J2.csv,Demand,True,1351258.38
instances\GJ\J2.csv,Distance,True,410691.51
instances\GJ\J3.csv,Demand,True,1334789.6
instances\GJ\J3.csv,Distance,True,377482.63
instances\GJ\J4.csv,Demand,True,1308625.2
instances\GJ\J4.csv,Distance,True,424173.11
instances\GJ\K1.csv,Demand,True,1768258.5
instances\GJ\K1.csv,Distance,True,541890.46
instances\GJ\K2.csv,Demand,True,1674723.1
instances\GJ\K2.csv,Distance,True,515354.56
instances\GJ\K3.csv,Demand,True,1706909.09
instances\GJ\K3.csv,Distance,True,515354.56
instances\GJ\K4.csv,Demand,True,1636277.0
instances\GJ\K4.csv,Distance,True,478413.76
instances\GJ\L1.csv,Demand,True,2159917.59
instances\GJ\L1.csv,Distance,True,704587.54
instances\GJ\L2.csv,Demand,True,2245510.65
instances\GJ\L2.csv,Distance,True,629378.6
instances\GJ\L3.csv,Demand,True,2164087.19
instances\GJ\L3.csv,Distance,True,629378.6
instances\GJ\L4.csv,Demand,True,2166560.51
instances\GJ\L4.csv,Distance,True,627886.47
instances\GJ\L5.csv,Demand,True,2245510.65
instances\GJ\L5.csv,Distance,True,627886.47
instances\GJ\M1.csv,Demand,True,1794241.24
instances\GJ\M1.csv,Distance,True,536271.23
instances\GJ\M2.csv,Demand,True,1705679.88
instances\GJ\M2.csv,Distance,True,536271.23
instances\GJ\M3.csv,Demand,True,1682274.19
instances\GJ\M3.csv,Distance,True,531293.94
instances\GJ\M4.csv,Demand,True,1720637.11
instances\GJ\M4.csv,Distance,True,484416.35
instances\GJ\N1.csv,Demand,True,2101218.35
instances\GJ\N1.csv,Distance,True,588285.68
instances\GJ\N2.csv,Demand,True,2141900.74
instances\GJ\N2.csv,Distance,True,588285.68
instances\GJ\N3.csv,Demand,True,2126043.98
instances\GJ\N3.csv,Distance,True,540847.77
instances\GJ\N4.csv,Demand,True,2115956.8
instances\GJ\N4.csv,Distance,True,540847.77
instances\GJ\N5.csv,Demand,True,2084625.89
instances\GJ\N5.csv,Distance,True,520372.85
instances\GJ\N6.csv,Demand,True,2140635.49
instances\GJ\N6.csv,Distance,True,520372.85
instances\GJ\O1.csv,Demand,True,2830622.28
instances\GJ\O1.csv,Distance,True,806906.23
instances\GJ\O2.csv,Demand,True,2754729.77
instances\GJ\O2.csv,Distance,True,806906.23
instances\GJ\O3.csv,Demand,True,2900351.05
instances\GJ\O3.csv,Distance,True,663608.19
instances\GJ\O4.csv,Demand,True,2874212.94
instances\GJ\O4.csv,Distance,True,663608.19
instances\GJ\O5.csv,Demand,True,2629739.51
instances\GJ\O5.csv,Distance,True,704325.93
instances\GJ\O6.csv,Demand,True,2771945.59
instances\GJ\O6.csv,Distance,True,704325.93
