Inst,Initial,Feasible,Of
instances\GJ\I3.csv,True,True,395985.77
instances\GJ\I4.csv,False,True,454393.44
instances\GJ\I4.csv,True,True,437543.63
instances\GJ\I5.csv,False,True,454393.44
instances\GJ\I5.csv,True,True,395983.74
instances\GJ\J1.csv,False,True,468716.49
instances\GJ\J1.csv,True,True,491441.48
instances\GJ\J2.csv,False,True,410691.51
instances\GJ\J2.csv,True,True,437441.48
instances\GJ\J3.csv,False,True,377482.63
instances\GJ\J3.csv,True,True,379114.15
instances\GJ\J4.csv,False,True,424173.11
instances\GJ\J4.csv,True,True,426830.7
instances\GJ\K1.csv,False,True,541890.46
instances\GJ\K1.csv,True,True,678612.97
instances\GJ\K2.csv,False,True,515354.56
instances\GJ\K2.csv,True,True,591717.8
instances\GJ\K3.csv,False,True,515354.56
instances\GJ\K3.csv,True,True,602657.71
instances\GJ\K4.csv,False,True,478413.76
instances\GJ\K4.csv,True,True,525383.86
instances\GJ\L1.csv,False,True,704587.54
instances\GJ\L1.csv,True,True,666551.53
instances\GJ\L2.csv,False,True,629378.6
instances\GJ\L2.csv,True,True,609953.85
instances\GJ\L3.csv,False,True,629378.6
instances\GJ\L3.csv,True,True,646905.47
instances\GJ\L4.csv,False,True,627886.47
instances\GJ\L4.csv,True,True,586139.71
instances\GJ\L5.csv,False,True,627886.47
instances\GJ\L5.csv,True,True,539501.68
instances\GJ\M1.csv,False,True,536271.23
instances\GJ\M1.csv,True,True,598228.77
instances\GJ\M2.csv,False,True,536271.23
instances\GJ\M2.csv,True,True,577082.54
instances\GJ\M3.csv,False,True,531293.94
instances\GJ\M3.csv,True,True,581527.06
instances\GJ\M4.csv,False,True,484416.35
instances\GJ\M4.csv,True,True,524996.63
instances\GJ\N1.csv,False,True,588285.68
instances\GJ\N1.csv,True,True,614242.02
instances\GJ\N2.csv,False,True,588285.68
instances\GJ\N2.csv,True,True,637744.87
instances\GJ\N3.csv,False,True,540847.77
instances\GJ\N3.csv,True,True,619689.25
instances\GJ\N4.csv,False,True,540847.77
instances\GJ\N4.csv,True,True,614535.2
instances\GJ\N5.csv,False,True,520372.85
instances\GJ\N5.csv,True,True,540255.88
instances\GJ\N6.csv,False,True,520372.85
instances\GJ\N6.csv,True,True,589931.26
instances\GJ\O1.csv,False,True,806906.23
instances\GJ\O1.csv,True,True,839255.92
instances\GJ\O2.csv,False,True,806906.23
instances\GJ\O2.csv,True,True,770825.93
instances\GJ\O3.csv,False,True,663608.19
instances\GJ\O3.csv,True,True,746849.76
instances\GJ\O4.csv,False,True,663608.19
instances\GJ\O4.csv,True,True,742401.86
instances\GJ\O5.csv,False,True,704325.93
instances\GJ\O5.csv,True,True,680561.84
instances\GJ\O6.csv,False,True,704325.93
instances\GJ\O6.csv,True,True,702897.68
